x1,y1,z1,x2,y2,z2,par_state,datetime
6.7077486,3.4519407999999996,-6.1978028,13.81,-5.41,-4.94,par,2022-07-09 16:14:01.063031
9.492837199999999,6.668522,-13.72931,7.45,-4.47,-6.67,par,2022-07-09 16:14:02.069801
4.9817782,0.8629851999999999,-5.88399,8.16,-11.53,13.89,par,2022-07-09 16:14:03.075231
8.394492399999999,2.549729,-3.5696205999999995,20.04,-12.79,20.04,par,2022-07-09 16:14:04.082245
8.669078599999999,4.707191999999999,-7.178467799999999,12.55,-6.59,-1.8,par,2022-07-09 16:14:05.089338
6.5116156,4.9817782,-5.88399,0.0,-10.2,-5.1,par,2022-07-09 16:14:06.096374
18.6718616,5.4132708,-3.1773545999999997,20.04,-20.08,-1.18,par,2022-07-09 16:14:07.103514
8.590625399999999,6.2370294,-10.4735022,-11.53,-3.84,13.96,par,2022-07-09 16:14:08.110580
10.6304086,4.6287388,-6.001669799999999,9.65,-4.31,0.31,par,2022-07-09 16:14:09.117708
10.6304086,-5.2563644,7.3353741999999995,-3.22,3.53,-20.08,par,2022-07-09 16:14:10.124588
5.1779112,4.158019599999999,-7.9629998,1.96,-3.77,11.45,par,2022-07-09 16:25:48.855857
5.2563644,2.6281822,-8.1199062,1.65,-1.8,11.53,par,2022-07-09 16:25:50.172260
5.1386845999999995,2.4320492,-8.2768126,1.41,-1.57,11.69,par,2022-07-09 16:25:51.177793
4.8248717999999995,1.4513842,-8.0806796,2.28,-1.1,11.22,par,2022-07-09 16:25:52.184729
5.099458,2.7066354,-8.3552658,0.94,-2.12,12.16,par,2022-07-09 16:25:53.191216
2.8635417999999997,2.2751428,-8.9436648,0.94,-2.51,12.55,normal,2022-07-09 16:26:21.103081
2.7458620000000002,0.8237586,-9.3359308,1.41,-1.26,12.08,normal,2022-07-09 16:26:22.234761
2.6281822,0.7060788,-9.571290399999999,0.78,-0.94,12.24,normal,2022-07-09 16:26:23.240101
3.4519407999999996,1.0591182,-9.80665,0.94,-1.02,12.47,normal,2022-07-09 16:26:24.246629
3.8834334,1.4513842,-9.414383999999998,1.41,-1.02,11.85,normal,2022-07-09 16:26:25.253494
3.6480737999999997,1.1767979999999998,-9.4536106,1.33,-1.1,11.85,normal,2022-07-09 16:26:26.260086
3.4519407999999996,1.1375714,-9.414383999999998,1.1,-0.63,12.0,normal,2022-07-09 16:26:27.265402
3.4127142,1.0198916,-9.4536106,1.26,-0.63,11.92,normal,2022-07-09 16:26:28.272245
3.4127142,0.9022117999999999,-9.5320638,0.86,-0.71,12.16,normal,2022-07-09 16:26:29.279064
3.2165812,0.9022117999999999,-9.3751574,0.78,-0.78,11.69,normal,2022-07-09 16:26:30.285977
3.2558078,0.9022117999999999,-9.3751574,1.02,-0.47,12.0,normal,2022-07-09 16:26:31.292584
0.0392266,3.530394,-9.492837199999999,2.43,-3.3,10.67,normal,2022-07-09 16:29:15.143441
0.6668522,3.1773545999999997,-9.80665,3.14,-2.75,11.38,normal,2022-07-09 16:29:16.570022
0.5883989999999999,3.1773545999999997,-9.649743599999999,3.22,-2.82,11.06,normal,2022-07-09 16:29:17.577052
0.2353596,3.1773545999999997,-9.492837199999999,2.9,-2.9,11.38,normal,2022-07-09 16:29:18.583953
-0.0392266,3.0204481999999997,-9.571290399999999,2.51,-2.9,11.61,normal,2022-07-09 16:29:19.590812
0.0,3.2165812,-9.4536106,2.51,-2.82,11.22,normal,2022-07-09 16:29:20.597726
0.0392266,3.138128,-9.610517,2.9,-2.82,11.3,normal,2022-07-09 16:29:21.604558
-0.0392266,3.2165812,-9.5320638,2.51,-2.98,11.53,normal,2022-07-09 16:29:22.611428
-0.0784532,3.0204481999999997,-9.610517,2.51,-2.82,11.61,normal,2022-07-09 16:29:23.618248
-0.0784532,3.0596748,-9.3359308,2.43,-2.75,11.38,normal,2022-07-09 16:29:24.625098
-0.2745862,3.0989014,-9.7281968,2.2,-2.82,11.45,normal,2022-07-09 16:29:25.631963
1.569064,4.3933792,-9.1397978,2.67,-4.79,10.67,normal,2022-07-09 16:29:59.988514
1.4121576,4.4326058,-8.9436648,2.59,-4.94,10.75,normal,2022-07-09 16:30:01.656505
1.6867438000000001,4.3541526,-9.022118,2.43,-4.86,11.06,normal,2022-07-09 16:30:02.662194
1.6082906,4.5502856,-9.022118,2.67,-4.94,10.9,normal,2022-07-09 16:30:03.669077
1.4906107999999998,4.6287388,-8.9436648,2.82,-5.1,10.83,normal,2022-07-09 16:30:04.676041
1.569064,4.5895122,-8.825985,2.67,-5.33,10.43,normal,2022-07-09 16:30:05.682997
1.569064,4.5895122,-8.8652116,2.59,-5.33,10.59,normal,2022-07-09 16:30:06.689951
1.6475172,4.6287388,-8.825985,2.75,-5.33,10.75,normal,2022-07-09 16:30:07.697033
1.5298374,4.5502856,-8.7867584,2.67,-5.26,10.2,normal,2022-07-09 16:30:08.704042
1.6082906,4.5895122,-9.022118,2.75,-5.26,10.75,normal,2022-07-09 16:30:09.711078
1.569064,4.6287388,-8.9044382,2.51,-5.41,10.67,normal,2022-07-09 16:30:10.717991
1.569064,4.8248717999999995,-8.825985,2.51,-5.41,10.59,normal,2022-07-09 16:31:49.762650
1.4121576,4.8640984,-8.590625399999999,2.51,-5.65,10.43,normal,2022-07-09 16:31:50.868743
1.3729310000000001,4.707191999999999,-9.492837199999999,2.12,-5.88,11.77,normal,2022-07-09 16:31:51.874037
1.1767979999999998,5.0210048,-8.590625399999999,3.06,-5.73,9.65,normal,2022-07-09 16:31:52.880319
1.3337044,4.511059,-8.5513988,2.51,-5.88,11.14,normal,2022-07-09 16:31:53.887198
1.3337044,4.785645199999999,-8.7867584,2.43,-5.81,10.51,normal,2022-07-09 16:31:54.894039
1.6867438000000001,4.8248717999999995,-9.022118,2.51,-6.04,11.38,normal,2022-07-09 16:31:55.900634
1.3337044,4.746418599999999,-8.825985,1.88,-5.88,11.14,normal,2022-07-09 16:31:56.905981
1.569064,5.0210048,-8.669078599999999,2.51,-5.73,10.51,normal,2022-07-09 16:31:57.912834
1.765197,4.9817782,-8.669078599999999,2.75,-5.81,10.43,normal,2022-07-09 16:31:58.921358
1.7259703999999998,4.903325,-8.629852,2.2,-5.65,9.96,normal,2022-07-09 16:31:59.928439
5.4524974,1.4121576,-8.2768126,3.06,-3.06,10.98,normal,2022-07-09 16:32:27.799275
4.8640984,1.2160246,-8.8652116,2.82,-2.98,11.53,normal,2022-07-09 16:32:28.944148
4.746418599999999,1.1767979999999998,-9.218251,2.43,-2.51,11.53,normal,2022-07-09 16:32:29.949599
4.5502856,0.9414384,-8.747531799999999,2.51,-2.51,11.53,normal,2022-07-09 16:32:30.956548
4.6679654,0.8237586,-9.2574776,2.35,-2.28,11.38,normal,2022-07-09 16:32:31.963519
4.4718324,0.7453053999999999,-8.9044382,2.51,-2.51,11.3,normal,2022-07-09 16:32:32.970412
4.5895122,0.784532,-8.7867584,2.51,-2.43,11.45,normal,2022-07-09 16:32:33.977150
4.5895122,0.8629851999999999,-8.7867584,2.59,-2.43,11.3,normal,2022-07-09 16:32:34.982569
4.511059,0.8629851999999999,-8.9436648,2.51,-2.51,11.38,normal,2022-07-09 16:32:35.989474
4.3933792,0.6668522,-9.0613446,1.88,-2.51,11.85,normal,2022-07-09 16:32:36.996469
4.4326058,0.5099458,-9.022118,2.51,-2.43,11.45,normal,2022-07-09 16:32:38.003322

